month,name,practice,items
2021-04-01,SPECIAL ALLOCATION SCHEME (NEL),Y06592,2
2021-01-01,WELLSBOURNE HEALTHCARE CIC,Y06007,2
2021-04-01,WHYBURN MEDICAL PRACTICE,Y06443,2
2020-09-01,HEATH STREET HEALTH CENTRE,Y06378,1
2021-03-01,SPECIAL ALLOCATION SCHEME (NEL),Y06592,1
2021-04-01,WELLSBOURNE HEALTHCARE CIC,Y06007,1
2021-04-01,STEVENAGE NORTH PCN HUB,Y06780,3
2020-12-01,HEATH STREET HEALTH CENTRE,Y06378,1
2021-02-01,INTEGRATED CARE CENTRE,Y06079,1
2021-03-01,LUTON EXTENDED ACCESS SERVICE,Y06148,1
2021-02-01,BILBOROUGH MEDICAL CENTRE,Y06356,3
2021-03-01,WHYBURN MEDICAL PRACTICE,Y06443,3
2020-09-01,UPPER LEA VALLEY EXT ACCESS HUB,Y06764,1
2020-07-01,BILBOROUGH MEDICAL CENTRE,Y06356,4
2021-04-01,BILBOROUGH MEDICAL CENTRE,Y06356,2
2020-07-01,HEATH STREET HEALTH CENTRE,Y06378,1
2020-10-01,NWS INTEGRATED CARE SERVICES (NICS),Y06137,1
2020-09-01,WHYBURN MEDICAL PRACTICE,Y06443,3
2021-01-01,WHYBURN MEDICAL PRACTICE,Y06443,4
2021-04-01,PEACOCK HEALTHCARE,Y06507,1
2020-09-01,STEVENAGE NORTH PCN HUB,Y06780,1
2021-01-01,BROWNSOVER MEDICAL CENTRE,Y06218,2
2021-04-01,UC24 - LIVERPOOL EXTENDED ACCESS SERVICE,Y06197,1
2021-02-01,WHITEHOUSE HEALTH CENTRE,Y06810,1
2021-05-01,PEACOCK HEALTHCARE,Y06507,1
2021-04-01,LONDON AMBULANCE SERV NHS111 IUC CAS OOH,Y06156,1
2021-05-01,SPECIAL ALLOCATION SCHEME (NEL),Y06592,2
2021-04-01,EXTENDED ACCESS PCD SAME DAY HC,Y06259,1
2020-10-01,HEATH STREET HEALTH CENTRE,Y06378,1
2020-11-01,STORT VALLEY & VILLAGES PCN HUB,Y06759,1
2020-11-01,NOOK SURGERY,Y06659,1
2020-07-01,WELLSBOURNE HEALTHCARE CIC,Y06007,1
2021-05-01,NOOK SURGERY,Y06659,2
2021-03-01,BROWNSOVER MEDICAL CENTRE,Y06218,1
2021-02-01,WHYBURN MEDICAL PRACTICE,Y06443,5
2020-08-01,SOUTH DOC VIRTUAL SERVICES,Y06528,1
2021-01-01,DODDINGTON LUCS,Y06407,1
2020-07-01,HOLYWELL LANGLEY HOUSE CLCH,Y06553,2
2020-11-01,HEATH STREET HEALTH CENTRE,Y06378,1
2021-05-01,DODDINGTON LUCS,Y06407,1
2021-05-01,WHYBURN MEDICAL PRACTICE,Y06443,3
2021-05-01,BILBOROUGH MEDICAL CENTRE,Y06356,2
2021-01-01,HEATH STREET HEALTH CENTRE,Y06378,1
2020-09-01,BILBOROUGH MEDICAL CENTRE,Y06356,6
2021-04-01,SWGP LTD,Y06203,1
2020-10-01,BILBOROUGH MEDICAL CENTRE,Y06356,1
2021-05-01,NORTHAMPTON EXTENDED ACCESS,Y06268,1
2020-11-01,WHYBURN MEDICAL PRACTICE,Y06443,4
2020-08-01,BILBOROUGH MEDICAL CENTRE,Y06356,3
2021-03-01,LAS S.E. LONDON IUC CAS,Y06291,1
2021-01-01,UC24 - LIVERPOOL EXTENDED ACCESS SERVICE,Y06197,1
2020-09-01,NELSON MEDICAL CENTRE,Y06275,1
2020-12-01,BROWNSOVER MEDICAL CENTRE,Y06218,1
2021-02-01,BROWNSOVER MEDICAL CENTRE,Y06218,1
2020-12-01,WELLSBOURNE HEALTHCARE CIC,Y06007,1
2020-10-01,WELLSBOURNE HEALTHCARE CIC,Y06007,1
2021-02-01,SPECIAL ALLOCATION SCHEME (NEL),Y06592,1
2021-04-01,CLINICAL ASSESSMENT SERVICE,Y06585,1
2021-01-01,PEACOCK HEALTHCARE,Y06507,1
2020-11-01,BILBOROUGH MEDICAL CENTRE,Y06356,2
2020-07-01,WHYBURN MEDICAL PRACTICE,Y06443,2
2021-01-01,NELSON MEDICAL CENTRE,Y06275,1
2021-04-01,WHITEHOUSE HEALTH CENTRE,Y06810,1
2021-03-01,NOOK SURGERY,Y06659,3
2020-12-01,BILBOROUGH MEDICAL CENTRE,Y06356,6
2020-10-01,WHYBURN MEDICAL PRACTICE,Y06443,2
2020-12-01,NORTHAMPTON EXTENDED ACCESS,Y06268,1
2021-05-01,STEVENAGE NORTH PCN HUB,Y06780,1
2021-04-01,BROWNSOVER MEDICAL CENTRE,Y06218,1
2021-03-01,BILBOROUGH MEDICAL CENTRE,Y06356,3
2020-08-01,MIDWAY LANGLEY HOUSE CLCH,Y06554,2
2020-11-01,NWS INTEGRATED CARE SERVICES (NICS),Y06137,1
2020-12-01,WHYBURN MEDICAL PRACTICE,Y06443,1
2021-01-01,BILBOROUGH MEDICAL CENTRE,Y06356,2
2021-04-01,EXTENDED HOURS,Y06743,1
2020-08-01,BABYLON GP AT HAND BIRMINGHAM,Y06487,1
2021-04-01,HUC WEST ESSEX OOH,Y06380,1
2021-05-01,WELHAT EXTENDED ACCESS HUB,Y06762,1
2020-08-01,WHITBY GP OOH,Y06333,1
2020-11-01,BROWNSOVER MEDICAL CENTRE,Y06218,1
2021-01-01,STEVENAGE NORTH PCN HUB,Y06780,1
2020-08-01,WHYBURN MEDICAL PRACTICE,Y06443,3
2021-05-01,NELSON MEDICAL CENTRE,Y06275,1
2020-08-01,HEATH STREET HEALTH CENTRE,Y06378,1
